# Time (s),Width (um),Depth (um),Cap (um)
3.275117647058824270e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.291411764705883306e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.307705882352941665e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.324000000000000023e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.340294117647058382e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.356588235294118096e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.372882352941177132e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.389176470588235491e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.405470588235294527e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.421764705882352885e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.438058823529411922e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.454352941176470280e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.470647058823529994e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
3.486941176470588353e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.503235294117647389e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.519529411764706425e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.535823529411764784e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.552117647058823820e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.568411764705882179e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.584705882352941892e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.601000000000000251e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.617294117647059287e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.633588235294118323e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.649882352941176682e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.666176470588235718e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.682470588235294077e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.698764705882353113e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.715058823529412149e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.731352941176470508e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.747647058823529544e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.763941176470589258e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.780235294117648294e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.796529411764706653e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.812823529411765689e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.829117647058823370e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.845411764705882406e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.861705882352941443e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.877999999999999801e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
3.894294117647058837e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
3.910588235294118551e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
3.926882352941176910e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
3.943176470588235946e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
3.959470588235294982e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
3.975764705882353341e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
3.992058823529412377e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
4.008352941176470736e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
4.024647058823529772e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
4.040941176470588808e-05,1.493030000000000442e-04,1.071080838219600390e-04,6.707669420326641094e-05
4.057235294117647167e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
4.073529411764706203e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
4.089823529411765239e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
4.106117647058823598e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
4.122411764705882634e-05,1.490259999999999925e-04,1.069093675254443118e-04,6.695224764630299235e-05
4.138705882352941670e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
4.155000000000000029e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
4.171294117647059065e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
4.187588235294118101e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
4.203882352941177138e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
4.220176470588236174e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
4.236470588235295210e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
4.252764705882353569e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
4.269058823529412605e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
4.285352941176471641e-05,1.487490000000000220e-04,1.067106512289286389e-04,6.682780108933961442e-05
4.301647058823529322e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
4.317941176470588358e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
4.334235294117646717e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
4.350529411764706431e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
4.366823529411765467e-05,1.484719999999999974e-04,1.065119349324129253e-04,6.670335453237622293e-05
4.383117647058823826e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
4.399411764705882862e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
4.415705882352941898e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
4.432000000000000257e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
4.448294117647059293e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
4.464588235294118329e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
4.480882352941176688e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
4.497176470588236402e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
4.513470588235295438e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
4.529764705882353119e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
4.546058823529412155e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
4.562352941176470514e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
4.578647058823529550e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
4.594941176470588586e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
4.611235294117646945e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
4.627529411764705981e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
4.643823529411765695e-05,1.473640000000000074e-04,1.057170697463501386e-04,6.620556830452267055e-05
4.660117647058824054e-05,1.473640000000000074e-04,1.057170697463501386e-04,6.620556830452267055e-05
4.676411764705883090e-05,1.473640000000000074e-04,1.057170697463501386e-04,6.620556830452267055e-05
4.692705882352942126e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
4.709000000000000485e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
